LP - General,LP - Jazz,LP - Soundtrack,Collection,"EP - 7""","EP - 10""","EP - 12""","Single - 7""","Single - 10""","Single - 12""",VA Compilations
Taj Mahal – Evolution,,,,,,,,,,
Takada Wataru/Itsui no Akai Fusen – s/t,,,,,,,,,,
Tangerine Dream – Ricochet,,,,,,,,,,
Taylor Dayne – Tell It To My Heart,,,,,,,,,,
Teen Anal Terrorist – Warm Blatz For Teenage Runaways,,,,,,,,,,
The Beach Boys – M.I.U. Album,,,,,,,,,,
The Beach Boys – Pet Sounds,,,,,,,,,,
The Doors – s/t,,,,,,,,,,
The Fall – Dragnet,,,,,,,,,,
The Flying Lizards – s/t,,,,,,,,,,
The Handsome Family – Unseen,,,,,,,,,,
The Incredible String Band - U,,,,,,,,,,
The Jimi Hendrix Experience – Are You Experienced?,,,,,,,,,,
The Moody Blues – A Question of Balance,,,,,,,,,,
The Moody Blues – Days of Future Passed,,,,,,,,,,
The Moody Blues – In Search of The Lost Chord,,,,,,,,,,
The Mothers of Invention – Uncle Meat,,,,,,,,,,
The Orb Featuring Lee Scratch Perry* ‎– More Tales From The Orbservatory,,,,,,,,,,
The Ozark Mountain Daredevils – s/t,,,,,,,,,,
The Quicksilver Messenger Service – Happy Trails,,,,,,,,,,
The Residents – Duck Stab,,,,,,,,,,
The Soft Machine – Volume 2,,,,,,,,,,
The Stitches – 8x12,,,,,,,,,,
The Stooges – Raw Power,,,,,,,,,,
The Tronics – Love Backed By Force,,,,,,,,,,
The Upsetters – Return of The Super Ape,,,,,,,,,,
The Upsetters – Super Ape,,,,,,,,,,
The Velvet Underground & Nico – s/t,,,,,,,,,,
Thompson Twins – Into The Gap,,,,,,,,,,
Tim Buckley – Happy Sad,,,,,,,,,,
Townes Van Zandt – Delta Momma Blues,,,,,,,,,,
Townes Van Zandt – In The Beginning,,,,,,,,,,
Townes Van Zandt – Our Mother The Mountain,,,,,,,,,,
Townes Van Zandt – s/t,,,,,,,,,,
Treat Her Right – s/t,,,,,,,,,,
Treat Her Right – Tied To The Tracks,,,,,,,,,,
Voodoo Idols – Temptation x 2,,,,,,,,,,
Wolf Eyes/Panicsville – Stabbed In The Face,,,,,,,,,,
Yamasaki Hako - Raibu II Uta Arite,,,,,,,,,,
Yamasaki Hako - Tsunawatari,,,,,,,,,,
Yamasaki Hako – Tobimasu,,,,,,,,,,
Yes – Close To The Edge,,,,,,,,,,
Yves Montand – Dis Moi Jo,,,,,,,,,,
ZZ Top – Deguello,,,,,,,,,,
,,,yuiyui - yuiyuiii,,,,,,,
